Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Greece,GRC,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.61651193463414
Greenland,GRL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,19.4215897454006
Grenada,GRD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.41380251725079
Guam,GUM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.88159735071093
Guatemala,GTM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,40.7370396748692
Guinea,GIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Guinea-Bissau,GNB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Guyana,GUY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,18.6808641234005
Haiti,HTI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.80448649847155
Honduras,HND,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,74.9747489229593
"Hong Kong SAR, China",HKG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.50241705668585
Hungary,HUN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.39009486893823
Iceland,ISL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.624332744379444
India,IND,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.76413425017975
Indonesia,IDN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Iran, Islamic Rep.",IRN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Iraq,IRQ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.04781817294795
Ireland,IRL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.2076419583122
Isle of Man,IMN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Israel,ISR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.04180361497246
Italy,ITA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.891694785112682
Jamaica,JAM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,51.486160292393
Japan,JPN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.361748484929274
Jordan,JOR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.59745706868556
Kazakhstan,KAZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.53419087902351
Kenya,KEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.58236653964518
Kiribati,KIR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.88613620907413
"Korea, Dem. People's Rep.",PRK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Korea, Rep.",KOR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.978157178925969
Kosovo,XKX,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.969544062
Kuwait,KWT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.00542534403072
Kyrgyz Republic,KGZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,16.7641099769876
Lao PDR,LAO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Latvia,LVA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Lebanon,LBN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.2908922638593
Lesotho,LSO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,38.2847049096125
Liberia,LBR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.3150389439982
Libya,LBY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Liechtenstein,LIE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.77808645405045
Lithuania,LTU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,7.01063599913567
Luxembourg,LUX,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.96893028017878
"Macao SAR, China",MAC,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.371598710552474
Madagascar,MDG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Malawi,MWI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.57643730309391
Malaysia,MYS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.9143486386216
Maldives,MDV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.64055450742351
Mali,MLI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Malta,MLT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.96558416635084
Marshall Islands,MHL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Mauritania,MRT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Mauritius,MUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.64433035538999
Mexico,MEX,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,22.5754505573749
"Micronesia, Fed. Sts.",FSM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Moldova,MDA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.48541759971024
Monaco,MCO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Mongolia,MNG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.78708129925269
Montenegro,MNE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.40277183759185
Morocco,MAR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.39441191435009
Mozambique,MOZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.71840940299471
Myanmar,MMR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.58297808057564
Namibia,NAM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,14.8191707210942
Nauru,NRU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Nepal,NPL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.00963895179125
Netherlands,NLD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.863157885903355
New Caledonia,NCL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
New Zealand,NZL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.983968183503201
Nicaragua,NIC,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,13.4785745608989
Niger,NER,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Nigeria,NGA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
North Macedonia,MKD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.07655535203167
Northern Mariana Islands,MNP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Norway,NOR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.593547362418791
Oman,OMN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.57820239459334
Pakistan,PAK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,7.3512755993055
Palau,PLW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Panama,PAN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,12.6280269174629
Papua New Guinea,PNG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.7530788541213
Paraguay,PRY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,11.859762865562
Peru,PER,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Philippines,PHL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.20005945930851
Poland,POL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.00183189135634
Portugal,PRT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Puerto Rico,PRI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,28.7722195560586
Qatar,QAT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.215479044932229
Romania,ROU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.29934456370843
Russian Federation,RUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,11.6323421850625
Rwanda,RWA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.89859749716565
Samoa,WSM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.60474121240804
San Marino,SMR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0
Sao Tome and Principe,STP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.32645865211895
Saudi Arabia,SAU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Senegal,SEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Serbia,SRB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.44584884562316
Seychelles,SYC,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.86052830519431
Sierra Leone,SLE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.54066783090562
Singapore,SGP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.370285919195817
Sint Maarten (Dutch part),SXM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Slovak Republic,SVK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.51731225527557
Slovenia,SVN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.734093658605339
Solomon Islands,SLB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Somalia,SOM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
South Africa,ZAF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,31.0307324523922
South Sudan,SSD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Spain,ESP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.854445688374367
Sri Lanka,LKA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.76571841961435
St. Kitts and Nevis,KNA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,42.8475240252188
St. Lucia,LCA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,25.2739930611401
St. Martin (French part),MAF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
St. Vincent and the Grenadines,VCT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,23.0925549602808
Sudan,SDN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Suriname,SUR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Sweden,SWE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.969099877669777
Switzerland,CHE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.665926122668202
Syrian Arab Republic,SYR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.16734516741243
Tajikistan,TJK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.4045496736787
Tanzania,TZA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.76731465720927
Thailand,THA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.43790201632764
Timor-Leste,TLS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.56647404658547
Togo,TGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Tonga,TON,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.961714159317568
Trinidad and Tobago,TTO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,35.6136081629703
Tunisia,TUN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.68917171160608
Turkiye,TUR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.23631609067884
Turkmenistan,TKM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Turks and Caicos Islands,TCA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Tuvalu,TUV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.5047999239616
Uganda,UGA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,9.7446158222217
Ukraine,UKR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.34136151823265
United Arab Emirates,ARE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.78362591429846
United Kingdom,GBR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.19130534304701
United States,USA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.76422446313797
Uruguay,URY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.10251087065565
Uzbekistan,UZB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Vanuatu,VUT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Venezuela, RB",VEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,45.991654975949
Vietnam,VNM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.51874004143909
Virgin Islands (U.S.),VIR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,52.787361197519
West Bank and Gaza,PSE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.789026223286531
"Yemen, Rep.",YEM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.74630502960632
Zambia,ZMB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.98266086706248
Zimbabwe,ZWE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.59942692109959
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
